name,detail_text,description,number,price,count_toys
"Самокат 3-х колёсный, полиуретановые светящиеся колеса, максимальная нагрузка 50кг","Изюминкой модели являются святящиеся колёса, - это очень эффектно смотрится в темноте. Полиуретановые колёса делют поездку мягкой, амортизируют неровности и прослужат не один сезон. Безопасность модели обеспечивают противоскользящие накладки на руль, подсветка колёс и интуитивная система торможения. Самокат оснащён ножным наступающим тормозом (step-on brake), который размещен над задним колесом. Силиконовые накладки на руле прочно удерживают руки ребёнка и не позволяют им скользить, что делает надежным управление самокатом. Высота руля регулируется.,Материал колёс: полиуретан.,Светящиеся колёса: да.,Максимальная нагрузка: 50 кг.,Складной: да.","{'Бренд, ТМ': 'Tongde', 'Страна': 'Китай', 'Количество колес': '4', 'Максимальная нагрузка, кг': '50', 'Упаковка': 'Коробка', 'Возраст': 'от 3 лет', 'Материал колес': 'Полиуретановые', 'Складной': 'да', 'Материал товара': 'Пластмасса, Металл', 'Пол': 'Для всех', 'Большая коробка': '6', 'Малая коробка': '1', 'Диаметр колёс,мм': '115/75', 'Светящиеся колеса': 'да', 'Тип рамы': 'пластиковая'}",10120073,2600,186
"Самокат 2-х колёсный, полиуретановые колеса, максимальная нагрузка до 70кг /Tongde/","Этот двухколёсный самокат лёгок в управлении, с ним справится даже ребёнок.,Благодаря тому, что нагрузки при катании на 2-х колёсном самокате распределяются равномерно, укрепляется опорно-двигательный аппарат и мышечная система рук и ног. Также у юного спортсмена улучшается координация и пространственная ориентация. Оптимальная нагрузка на самокат – до 70 кг, это позволит кататься как совсем юным любителям гонок с ветерком, так и подросткам. Полиуретановые колёса обеспечат хорошую амортизацию и прослужат долго. Отличным дополнением к самокату станет удобная подножка - всегда можно припарковать свой маленький транспорт.,Складной: да.,Диаметр колёс: 20 см.,Материал колёс: полиуретан.,Регулировка руля по высоте: есть, 82/87/93 см.,Материал рамы: сталь.,Максимальная нагрузка: 70 кг.","{'Бренд, ТМ': 'Tongde', 'Страна': 'Китай', 'Количество колес': '2', 'Максимальная нагрузка, кг': '70', 'Упаковка': 'Коробка', 'Размер упаковки (ДхШхВ)': '10х85х75', 'Возраст': 'от 8 лет', 'Материал колес': 'Полиуретановые', 'Складной': 'да', 'Материал товара': 'Металл', 'Сезон': 'Летний ассортимент', 'Пол': 'Для всех', 'Большая коробка': '6', 'Малая коробка': '1', 'Диаметр колёс,мм': '200', 'Светящиеся колеса': 'нет', 'Тип рамы': 'стальная'}",10120037,4290,23
"Самокат 2-х колёсный трюковой, полиуретановые колеса, максимальная нагрузка до 60 кг /Tongde/","Этот трюковый самокат предназначен для экстремального фристайл катания или, как его ещё называют, кикскутеринга. Данная модель не только ускорит процесс освоения техники катания, но и снизит риски получения травм.","{'Бренд, ТМ': 'Tongde', 'Страна': 'Китай', 'Количество колес': '2', 'Максимальная нагрузка, кг': '60', 'Упаковка': 'Коробка', 'Размер упаковки (ДхШхВ)': '64х12х61', 'Возраст': 'от 6 лет', 'Материал колес': 'Полиуретановые', 'Складной': 'нет', 'Материал товара': 'Металл', 'Сезон': 'Летний ассортимент', 'Пол': 'Для всех', 'Размер': '51-75 см', 'Большая коробка': '6', 'Малая коробка': '1', 'Диаметр колёс,мм': '100', 'Светящиеся колеса': 'нет', 'Тип рамы': 'стальная'}",10120040,4180,87
"Самокат 3-х колёсный, светящиеся колёса, максимальная нагрузка 40кг /синий/","Изюминкой модели являются святящиеся колёса и регулировка руля по высоте. Самокат оснащён ножным наступающим тормозом (step-on brake), который размещен над задним колесом. Колёса изготовлены из полиуретана и прослужат не один сезон. Силиконовые накладки на руле прочно удерживают руки ребенка и не позволяют им скользить, что делает надежным управление самокатом.,Материал рамы: пластик.,Максимальная нагрузка: 40 кг.,Светящиеся колёса: да.,Регулировка руля по высоте: есть.,Материал колёс: полиуретан.,Складной: нет.,Тормоз: задний ножной.,Вес: 2 кг.","{'Бренд, ТМ': 'Tongde', 'Страна': 'Китай', 'Количество колес': '3', 'Максимальная нагрузка, кг': '40', 'Упаковка': 'Коробка', 'Размер упаковки (ДхШхВ)': '60х27х14,5', 'Возраст': 'от 3 лет', 'Материал колес': 'Полиуретановые', 'Складной': 'нет', 'Материал товара': 'Пластмасса, Металл', 'Пол': 'Для всех', 'Большая коробка': '6', 'Малая коробка': '1', 'Диаметр колёс,мм': '110/70', 'Светящиеся колеса': 'да', 'Тип рамы': 'пластиковая'}",10120058,1590,112
"Самокат 2-х колёсный трюковой, пластиковые колёса, максимальная нагрузка до 80 кг /Tongde/","Безопасность модели обеспечивают антискользящее покрытие деки, удобный руль и интуитивная система торможения. Колёса изготовлены из пластика и прослужат не один сезон.,Рекомендуемый возраст: от 6 лет.,Максимальная нагрузка: 80 кг.,Материал колёс: пластик.,Материал рамы: сталь. ","{'Бренд, ТМ': 'Tongde', 'Страна': 'Китай', 'Количество колес': '2', 'Максимальная нагрузка, кг': '80', 'Упаковка': 'Коробка', 'Размер упаковки (ДхШхВ)': '64х12х61', 'Возраст': 'от 6 лет', 'Материал колес': 'Полиуретановые', 'Складной': 'нет', 'Материал товара': 'Металл', 'Сезон': 'Летний ассортимент', 'Пол': 'Для всех', 'Размер': '51-75 см', 'Большая коробка': '6', 'Малая коробка': '1', 'Диаметр колёс,мм': '100', 'Светящиеся колеса': 'нет', 'Тип рамы': 'стальная'}",10120036,3350,18
"Самокат 3-х колёсный, светящиеся колеса, максимальная нагрузка 40кг /красный/","Изюминкой модели являются святящиеся колёса и регулирующийсяпо высоте руль. Самокат оснащён ножным наступающим тормозом (step-on brake), который размещен над задним колесом. Колёса изготовлены из полиуретана и прослужат не один сезон. Силиконовые накладки на руле прочно удерживают руки ребенка и не позволяют им скользить, что делает надежным управление самокатом.,Материал рамы: пластик.,Максимальная нагрузка: 40 кг.,Светящиеся колёса: да.,Материал колёс: полиуретан.,Складной: нет.,Тормоз: задний ножной.,Регулировка руля по высоте: есть.,Вес: 2 кг.","{'Бренд, ТМ': 'Tongde', 'Страна': 'Китай', 'Количество колес': '3', 'Максимальная нагрузка, кг': '40', 'Упаковка': 'Коробка', 'Размер упаковки (ДхШхВ)': '60х27х14,5', 'Возраст': 'от 3 лет', 'Материал колес': 'Полиуретановые', 'Складной': 'нет', 'Материал товара': 'Пластмасса, Металл', 'Пол': 'Девочки', 'Большая коробка': '6', 'Малая коробка': '1', 'Диаметр колёс,мм': '110/70', 'Светящиеся колеса': 'да', 'Тип рамы': 'пластиковая'}",10120057,1590,147
"Самокат 3-х колёсный, светящиеся колеса, максимальная нагрузка 40кг /зеленый/","Изюминкой модели являются святящиеся колёса и регулировка руля по высоте. Самокат оснащён ножным наступающим тормозом (step-on brake), который размещен над задним колесом. Колёса изготовлены из полиуретана и прослужат не один сезон. Силиконовые накладки на руле прочно удерживают руки ребенка и не позволяют им скользить, что делает надежным управление самокатом.,Материал рамы: пластик.,Максимальная нагрузка: 40 кг.,Светящиеся колёса: да.,Регулировка руля по высоте: есть.,Материал колёс: полиуретан.,Складной: нет.,Тормоз: задний ножной.,Вес: 2 кг.","{'Бренд, ТМ': 'Tongde', 'Страна': 'Китай', 'Количество колес': '3', 'Максимальная нагрузка, кг': '40', 'Упаковка': 'Коробка', 'Размер упаковки (ДхШхВ)': '60х27х14,5', 'Возраст': 'от 3 лет', 'Материал колес': 'Полиуретановые', 'Складной': 'нет', 'Материал товара': 'Пластмасса, Металл', 'Пол': 'Для всех', 'Большая коробка': '6', 'Малая коробка': '1', 'Диаметр колёс,мм': '110/70', 'Светящиеся колеса': 'да', 'Тип рамы': 'пластиковая'}",10120059,1590,32
"Самокат 3-х колёсный, светящиеся колеса, максимальная нагрузка 40кг /розовый/","Изюминкой модели являются святящиеся колёса и регулировка руля по высоте. Самокат оснащён ножным наступающим тормозом (step-on brake), который размещен над задним колесом. Колёса изготовлены из полиуретана и прослужат не один сезон. Силиконовые накладки на руле прочно удерживают руки ребенка и не позволяют им скользить, что делает надежным управление самокатом.,Материал рамы: пластик.,Максимальная нагрузка: 40 кг.,Светящиеся колёса: да.,Регурировка руля по высоте: есть.,Материал колёс: полиуретан.,Складной: нет.,Тормоз: задний ножной.,Вес: 2 кг.","{'Бренд, ТМ': 'Tongde', 'Страна': 'Китай', 'Количество колес': '3', 'Максимальная нагрузка, кг': '40', 'Упаковка': 'Коробка', 'Размер упаковки (ДхШхВ)': '60х27х14,5', 'Возраст': 'от 3 лет', 'Материал колес': 'Полиуретановые', 'Складной': 'нет', 'Материал товара': 'Пластмасса, Металл', 'Пол': 'Девочки', 'Большая коробка': '6', 'Малая коробка': '1', 'Диаметр колёс,мм': '110/70', 'Светящиеся колеса': 'да', 'Тип рамы': 'пластиковая'}",10120060,1590,33
"Самокат 3-х колёсный, светящиеся колеса, максимальная нагрузка 40кг /фиолетовый/","Изюминкой модели являются святящиеся колёса и регулировка руля по высоте. Самокат оснащён ножным наступающим тормозом (step-on brake), который размещен над задним колесом. Колёса изготовлены из полиуретана и прослужат не один сезон. Силиконовые накладки на руле прочно удерживают руки ребенка и не позволяют им скользить, что делает надежным управление самокатом.,Материал рамы: пластик.,Максимальная нагрузка: 40 кг.,Светящиеся колёса: да.,Регулировка руля по высоте: есть.,Материал колёс: полиуретан.,Складной: нет.,Тормоз: задний ножной.,Вес: 2 кг.","{'Бренд, ТМ': 'Tongde', 'Страна': 'Китай', 'Количество колес': '3', 'Максимальная нагрузка, кг': '40', 'Упаковка': 'Коробка', 'Размер упаковки (ДхШхВ)': '60х27х14,5', 'Возраст': 'от 3 лет', 'Материал колес': 'Полиуретановые', 'Складной': 'нет', 'Материал товара': 'Пластмасса, Металл', 'Пол': 'Девочки', 'Большая коробка': '6', 'Малая коробка': '1', 'Диаметр колёс,мм': '110/70', 'Светящиеся колеса': 'да', 'Тип рамы': 'пластиковая'}",10120061,1590,65
"Самокат 3-х колёсный, полиуретановые светящиеся колеса, максимальная нагрузка 50кг","Изюминкой модели являются святящиеся колёса, - это очень эффектно смотрится в темноте. Полиуретановые колёса делют поездку мягкой, амортизируют неровности и прослужат не один сезон. Безопасность модели обеспечивают противоскользящие накладки на руль, подсветка колёс и интуитивная система торможения. Самокат оснащён ножным наступающим тормозом (step-on brake), который размещен над задним колесом. Силиконовые накладки на руле прочно удерживают руки ребёнка и не позволяют им скользить, что делает надежным управление самокатом. Руль самоката регулируется по высоте.,Материал колёс: полиуретан.,Светящиеся колёса: да.,Максимальная нагрузка: 50 кг.,Складной: нет.","{'Бренд, ТМ': 'Tongde', 'Страна': 'Китай', 'Количество колес': '3', 'Максимальная нагрузка, кг': '50', 'Упаковка': 'Коробка', 'Возраст': 'от 3 лет', 'Материал колес': 'Полиуретановые', 'Складной': 'нет', 'Материал товара': 'Пластмасса, Металл', 'Пол': 'Для всех', 'Большая коробка': '6', 'Малая коробка': '1', 'Диаметр колёс,мм': '110/70', 'Светящиеся колеса': 'да', 'Тип рамы': 'пластиковая'}",10120062,1790,199
